Playlist Name,URI,Genre,Creator
Country Gold,spotify:playlist:37i9dQZF1DWYnwbYQ5HnZU,Country,Spotify
90's Country,spotify:playlist:37i9dQZF1DWVpjAJGB70vU,Country,Spotify
Big Country,spotify:playlist:37i9dQZF1DXaJXCbmtHVHV,Country,Spotify
Country Kind of Love,spotify:playlist:37i9dQZF1DX8WMG8VPSOJC,Country,Spotify
Country's Greatest Hits: The '00s,spotify:playlist:37i9dQZF1DXdxUH6sNtcDe,Country,Spotify
New Boots,spotify:playlist:37i9dQZF1DX8S0uQvJ4gaa,Country,Spotify
Tailgate Party,spotify:playlist:37i9dQZF1DXdgnLr18vPvu,Country,Spotify
Nashville Worldwide Hot 50,spotify:playlist:37i9dQZF1DX7aUUBCKwo4Y,Country,Spotify
Country's Greatest Hits: The '90s,spotify:playlist:37i9dQZF1DXaiEFNvQPZrM,Country,Spotify
Texas Music Now,spotify:playlist:37i9dQZF1DX3Ee0ngF5ZVQ,Country,Spotify
Country's Greatest Hits: The '80s,spotify:playlist:37i9dQZF1DX6RCydf9ytsj,Country,Spotify
Still Hot,spotify:playlist:37i9dQZF1DX6rVyqO2FaN8,Country,Spotify
Breakout Country,spotify:playlist:37i9dQZF1DWW7RgkOJG32Y,Country,Spotify
Country Coffeehouse,spotify:playlist:37i9dQZF1DWYiR2Uqcon0X,Country,Spotify
Women of Country,spotify:playlist:37i9dQZF1DX49poIUZYXp7,Country,Spotify
Country Music 101: Country's Greatest Hits,spotify:playlist:37i9dQZF1DWZBCPUIUs2iR,Country,Spotify
Fresh Country,spotify:playlist:37i9dQZF1DWXepGEFFmQXJ,Country,Spotify
Indigo,spotify:playlist:37i9dQZF1DWUgBy0IJPlHq,Country,Spotify
Hot Country - Top Tracks of 2018,spotify:playlist:37i9dQZF1DX6P1Nsk3wSZX,Country,Spotify
Southern Rock 101,spotify:playlist:37i9dQZF1DXbDjX0hus3Iu,Country,Spotify
Country Hits,spotify:playlist:6nU0t33tQA2i0qTI5HiyRV,Country,Digster Playlists
Country Party Songs,spotify:playlist:3rEkY4Z25FQ4x3NJ0pMxra,Country,Ethan LeBlanc
Are&B,spotify:playlist:37i9dQZF1DX4SBhb3fqCJd,R&B,Spotify
I Love My '00s R&B,spotify:playlist:37i9dQZF1DWYmmr74INQlb,R&B,Spotify
I Love My '90s R&B,spotify:playlist:37i9dQZF1DX6VDO8a6cQME,R&B,Spotify
Chilled R&B,spotify:playlist:37i9dQZF1DX2UgsUIg75Vg,R&B,Spotify
Gold Edition,spotify:playlist:37i9dQZF1DWXnexX7CktaI,R&B,Spotify
80s Jam Session,spotify:playlist:37i9dQZF1DX0H8hDpv38Ju,R&B,Spotify
Channel X,spotify:playlist:37i9dQZF1DX4y8h9WqDPAE,R&B,Spotify
Black Girl Magic,spotify:playlist:37i9dQZF1DX4ezQVslkJiT,R&B,Spotify
The Newness,spotify:playlist:37i9dQZF1DWUzFXarNiofw,R&B,Spotify
Alternative R&B,spotify:playlist:37i9dQZF1DWSfMe9z89s9B,R&B,Spotify
Women of R&B,spotify:playlist:37i9dQZF1DX1wNY9tfWQsS,R&B,Spotify
The Sweet Suite,spotify:playlist:37i9dQZF1DX2Ma8k80RiMN,R&B,Spotify
Soul Coffee,spotify:playlist:37i9dQZF1DXaXDsfv6nvZ5,R&B,Spotify
R&B en Español,spotify:playlist:37i9dQZF1DX2MJVTOdWtbm,R&B,Spotify
Throwback R&B,spotify:playlist:37i9dQZF1DX9zR5aXbFFRA,R&B,Spotify
R&B Matters: The Playlist,spotify:playlist:37i9dQZF1DWZKEBMCmjsXt,R&B,Spotify
Fancy Friday R&B,spotify:playlist:37i9dQZF1DWUbo613Z2iWO,R&B,Spotify
Evening Groove,spotify:playlist:37i9dQZF1DXaX7xgI3f7y8,R&B,Spotify
R&B Right Now,spotify:playlist:37i9dQZF1DX2WkIBRaChxW,R&B,Spotify
R&B Connect,spotify:playlist:37i9dQZF1DX7J2y2eWxEnR,R&B,Spotify
R&B Slow Jams,spotify:playlist:37i9dQZF1DX79tXjMZ42D6,R&B,Spotify
R & B Throwbacks,spotify:playlist:5aiU5GxPhweFoNErFOTua9,R&B,johannaguti
R&B heart,spotify:playlist:4WdOOas9UoL3XjHEs57BTX,R&B,Lizmedina
R&B Now,spotify:playlist:4Isw4wGadYDYtwoM8nl5Pz,R&B,Simplicity
R&B Love songs 1990-2020,spotify:playlist:1fb2kUcysJ6BvfFYbUPJ3h,R&B,Munoz.luis
Mint,spotify:playlist:37i9dQZF1DX4dyzvuaRJ0n,Dance/Electronic,Spotify
Night Rider,spotify:playlist:37i9dQZF1DX6GJXiuZRisr,Dance/Electronic,Spotify
Happy Beats,spotify:playlist:37i9dQZF1DWSf2RDTDayIx,Dance/Electronic,Spotify
Bass Arcade,spotify:playlist:37i9dQZF1DX0hvSv9Rf41p,Dance/Electronic,Spotify
Brain Food,spotify:playlist:37i9dQZF1DWXLeA8Omikj7,Dance/Electronic,Spotify
Dance Hits,spotify:playlist:37i9dQZF1DX0BcQWzuB7ZO,Dance/Electronic,Spotify
Hype,spotify:playlist:37i9dQZF1DX4eRPd9frC1m,Dance/Electronic,Spotify
Power Hour,spotify:playlist:37i9dQZF1DX32NsLKyzScr,Dance/Electronic,Spotify
Dance Party,spotify:playlist:37i9dQZF1DXaXB8fQg7xif,Dance/Electronic,Spotify
Dance Rising,spotify:playlist:37i9dQZF1DX8tZsk68tuDw,Dance/Electronic,Spotify
